215,203
214,202
211,202
210,201
209,201
207,199
206,199
203,196
203,195
202,194
202,163
203,162
203,159
204,158
204,157
205,156
205,154
206,153
206,152
207,151
207,150
208,149
208,148
209,147
209,146
210,145
210,143
211,142
211,141
212,140
212,139
214,137
214,136
215,135
215,134
217,132
217,131
218,130
218,129
219,128
221,128
223,130
223,131
225,133
225,134
227,136
227,137
228,138
228,139
230,141
230,142
231,143
231,144
232,145
232,149
233,150
233,186
232,187
232,190
231,191
231,192
230,193
230,195
229,196
229,197
228,198
228,199
225,202
224,202
223,203
