210,216
211,217
223,217
224,216
228,216
229,215
230,215
238,207
238,206
240,204
240,202
241,201
241,200
242,199
242,197
243,196
243,194
244,193
244,191
245,190
245,189
246,188
246,186
247,185
247,182
248,181
248,169
247,168
247,160
246,159
246,152
245,151
245,146
244,145
244,143
243,142
243,140
242,139
242,138
240,136
240,135
239,134
239,133
238,132
238,131
237,130
237,129
235,127
235,126
234,125
234,124
231,121
231,120
228,117
228,116
224,112
224,111
222,109
219,109
215,113
215,114
212,117
212,118
210,120
210,121
207,124
207,125
206,126
206,127
204,129
204,130
203,131
203,132
201,134
201,135
200,136
200,137
199,138
199,139
197,141
197,142
196,143
196,144
195,145
195,146
194,147
194,148
193,149
193,150
192,151
192,152
191,153
191,154
190,155
190,160
189,161
189,195
190,196
190,198
191,199
191,200
192,201
192,202
193,203
193,204
194,205
194,206
196,208
196,209
201,214
202,214
203,215
205,215
206,216
