12,4
19,21
26,31
34,44
41,56
50,60
58,68
65,76
75,84
80,91
86,101
96,108
103,114
110,122
115,129
122,134
129,144
134,153
137,162
140,169
146,178
152,185
160,183
161,174
166,166
168,161
171,156
173,148
177,142
183,137
186,131
191,126
194,122
201,118
210,110
216,108
222,104
231,101
238,100
242,100
254,96
260,98
231,102
221,104
206,116
192,126
183,136
177,148
168,160
163,173
158,185
154,194
154,206
154,220
157,232
158,242
164,252
164,266
168,275
170,282
177,294
178,304
182,318
190,324
194,334
200,341
206,347
213,353
222,359
230,363
238,371
246,376
258,381
267,385
288,392
296,393
305,392
317,392
325,392
332,392
338,390
348,390
358,388
368,388
376,384
384,380
394,370
397,364
404,358
409,348
414,340
417,333
425,323
430,312
434,302
439,289
442,281
445,274
448,260
450,251
451,238
455,223
454,215
450,203
446,192
443,181
442,170
438,159
436,147
434,136
432,127
431,119
430,109
432,102
432,94
434,84
436,72
439,66
440,56
448,51
454,46
455,38
462,32
469,25
470,18
476,12
484,4
